LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
1,A361,1253,6,1,1,1,BA*,1,BS**,100,100,100,100,98,91,85,69,60,45,37,28.39999962,21.79999924,4.800000191,4,40
1,A422,3021,6,1,1,2,BA*,1,BS**,100,100,100,100,100,100,100,97,77,34,20,12.19999981,6.800000191,2,1.200000048,23
1,A430,3021,6,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,99,84,46,28,16.70000076,10.5,4.5,3.900000095,16
1,A805,A806,6,1,1,1,B6,1,BS06,100,100,100,100,100,100,100,100,100,71,35,14,4.800000191,2,,0
1,B423,7455,6,1,1,1,BA1,1,BS01,100,100,100,100,100,98,94,81,77,72,67,56.09999847,44.40000153,25.79999924,22.70000076,23
1,B451,7455,6,1,1,1,BA1,1,BS01,100,100,100,100,100,98,94,81,77,72,67,56.09999847,44.40000153,25.79999924,22.70000076,23
1,259,259,8,1,1,2,B8,1,BS08,100,100,100,100,100,100,100,100,100,97,56,29.89999962,15.80000019,11.19999981,,0
1,508,508,8,1,1,2,BA*,1,BS*1,100,100,100,100,100,100,100,96,87,61,52,48.29999924,33.5,21.5,18.10000038,13
1,812,812,8,1,1,7,B203,1,BS203,100,100,100,100,99,98,98,97,94,71,46,28.70000076,13.30000019,7.800000191,,6
1,7780,7780,8,1,1,1,BA*,1,BS**,100,100,100,100,99,94,89,62,37,17,12,9.100000381,5.699999809,3,2.700000048,63
1,7783,7783,8,1,1,2,TP1,1,BS93,100,100,100,100,100,99,98,97,95,93,87,72.5,44.09999847,22.60000038,18.39999962,5
1,1803,1803,9,1,3,2,BA4,3,BS01,100,100,100,100,99,97,96,93,90,78,68,58.70000076,29.70000076,7.699999809,,10
1,5001,5001,9,1,1,1,BX03,1,BSX03,100,100,100,94,93,88,84,76,68,52,34,20.29999924,6,2.099999905,1.399999976,32
2,102,102,10,2,1,2,B9,1,BS09,100,100,100,100,100,100,100,100,100,79,27,13.60000038,10,5.599999905,,0
1,103,112,10,1,1,1,B4,1,BS04,100,100,100,100,100,100,100,100,100,83,38,29.79999924,27.29999924,15.5,,0
1,103,159,10,1,1,1,B6,1,BS06,100,100,100,100,100,100,100,100,99,69,35,23.60000038,22.39999962,10.30000019,,1
2,103,107,10,2,1,1,B8,1,BS08,100,100,100,100,100,100,100,100,100,79,26,11.10000038,7.400000095,5.099999905,,0
2,103,111,10,2,2,2,BAX08,2,BSX08,100,100,100,100,100,100,100,100,99,82,33,17,13.69999981,8.300000191,,1
1,104,102,10,1,1,1,B2,1,BS02,100,100,100,100,100,100,100,100,99,74,43,26.79999924,16.79999924,5.199999809,,1
2,104,102,10,2,1,2,B9,1,BS09,100,100,100,100,100,100,100,100,100,79,27,13.60000038,10,5.599999905,,0
2,104,107,10,2,1,1,B8,1,BS08,100,100,100,100,100,100,100,100,100,79,26,11.10000038,7.400000095,5.099999905,,0
1,105,108,10,1,1,1,B5,1,BS05,100,100,100,100,100,100,100,100,99,69,34,25.60000038,19.39999962,8,,1
1,106,103,10,1,1,1,B3,1,BS03,100,100,100,100,100,100,100,100,100,89,72,61.90000153,56.20000076,28.29999924,,0
2,106,160,10,2,2,2,BAX07,2,BSX07,100,100,100,100,100,100,100,100,100,78,33,17.60000038,13,7.099999905,,0
2,107,160,10,2,2,2,BAX07,2,BSX07,100,100,100,100,100,100,100,100,100,78,33,17.60000038,13,7.099999905,,0
1,108,108,10,1,1,1,B5,1,BS05,100,100,100,100,100,100,100,100,99,69,34,25.60000038,19.39999962,8,,1
1,110,107,10,1,1,1,B1,1,BS01,100,100,100,100,100,100,100,100,100,71,38,27,21.20000076,9.899999619,,0
2,110,107,10,2,1,1,B8,1,BS08,100,100,100,100,100,100,100,100,100,79,26,11.10000038,7.400000095,5.099999905,,0
2,111,159,10,2,1,1,B13,1,BS13,100,100,100,100,100,100,100,100,100,68,23,11.80000019,8.199999809,5,,0
1,112,103,10,1,1,1,B3,1,BS03,100,100,100,100,100,100,100,100,100,89,72,61.90000153,56.20000076,28.29999924,,0
2,159,104,10,2,2,2,BAX09,2,BSX09,100,100,100,97,90,79,72,68,68,52,19,10.39999962,7.199999809,3.599999905,,32
1,160,107,10,1,1,1,B1,1,BS01,100,100,100,100,100,100,100,100,100,71,38,27,21.20000076,9.899999619,,0
