LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
B320,1,1021,4,1,1,1,BA*,BS**,2,2034.300049,9.5,1946.800049,1
B350,1,1021,4,1,1,1,BA*,BS**,2,2034.300049,9.5,1946.800049,1
B901,1,1007,4,1,2,1,TP1,BS91,2,2018.300049,8.899999619,1946.400024,1
B964,1,1007,4,1,2,1,TP1,BS91,2,2018.300049,8.899999619,1946.400024,1
B964,1,1007,4,1,1,1,BA*,BS**,2,1986.199951,9.600000381,1904.199951,1
C320,1,1017,4,1,1,1,BA*,BS**,2,2050.300049,9.300000191,1974.199951,2
D310,2,1016,4,2,1,1,BA*,BG**,2,2098.399902,8,1988.099976,1
D320,2,1016,4,2,1,1,BA*,BG**,2,2098.399902,8,1988.099976,1
113,2,114,5,2,2,5,BA*,BG**,1,2178.5,6.400000095,2104.199951,1
114,2,114,5,2,1,5,BA*,BG**,1,2194.5,5.599999905,2116.5,1
216,1,224,5,1,2,4,BA*,BS**,1,2146.5,7.400000095,2083.300049,4
3073,3,3073,5,3,2,1,BA*,BG**,1,,6.699999809,2088.800049,1
203,2,211,6,2,1,1,B13,BG13,1,2226.600098,6.599999905,2149.300049,1
204,2,212,6,2,1,1,B15,BG15,1,2178.5,8.699999809,2101,1
206,1,206,6,1,1,3,BA264,BS264,2,1818.099976,10.89999962,1721.900024,2
206,1,206,6,1,1,1,B9,BS09,2,1778,12.80000019,1668,1
208,1,210,6,1,1,1,B10,BS10,2,1826.099976,10.89999962,1709.400024,1
209,2,211,6,2,1,1,B13,BG13,1,2226.600098,6.599999905,2149.300049,1
209,2,211,6,2,1,1,B40,BG40,1,2226.600098,6.099999905,2168.699951,1
209,2,212,6,2,1,1,B15,BG15,1,2178.5,8.699999809,2101,1
210,1,202,6,1,2,1,B11,BS11,2,1826.099976,10.5,1730.699951,1
210,1,204,6,1,2,1,B12,BS12,2,1842.099976,10,1728.400024,1
211,1,202,6,1,2,1,B11,BS11,2,1826.099976,10.5,1730.699951,1
211,2,202,6,2,2,1,B11,BG11,1,2178.5,7.400000095,2130.699951,1
212,1,204,6,1,2,1,B12,BS12,2,1842.099976,10,1728.400024,1
502,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
504,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
504,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
505,2,564,6,2,2,1,BA10,BG02,1,2130.5,6.099999905,2098.100098,1
506,1,561,6,1,2,1,TP3,BS93,2,1954.300049,10,1836.900024,1
106,2,160,10,2,2,2,BAX07,BSX07,2,1928.599976,9.100000381,1829.699951,2
107,1,103,10,1,2,1,B10,BS10,2,1922.199951,8.899999619,1821.699951,1
507,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
507,2,507,6,2,2,1,TP2,BG92,1,2018.300049,9.699999809,1967.5,1
507,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
508,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
508,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
508,2,564,6,2,2,1,BA10,BG05,1,2178.5,6.199999809,2120.899902,1
508,2,564,6,2,2,1,BA9,BG04,1,2130.5,7.199999809,2067.199951,1
509,1,507,6,1,2,1,TP2,BS93,2,1954.300049,11,1855.900024,1
509,2,502,6,2,2,1,TP1,BG92,1,2002.300049,10.10000038,1941.099976,1
509,2,564,6,2,2,1,BA9,BG01,1,2146.5,6.900000095,2096.699951,1
559,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
560,2,568,6,2,1,1,BA11,BG01,1,2114.399902,6.900000095,2062.199951,1
566,1,560,6,1,1,1,BA7,BS01,2,2002.300049,8.899999619,1896.599976,1
567,1,507,6,1,2,1,TP2,BS93,2,1954.300049,11,1855.900024,1
568,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
568,2,564,6,2,2,1,BA9,BG04,1,2130.5,7.199999809,2067.199951,1
569,2,507,6,2,2,1,TP2,BG92,1,2018.300049,9.699999809,1967.5,1
569,2,560,6,2,1,1,BA8,BG02,1,2098.399902,8.300000191,2039.599976,1
569,2,564,6,2,2,1,BA9,BG01,1,2146.5,6.900000095,2096.699951,1
570,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
570,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
570,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
571,1,561,6,1,2,1,TP3,BS93,2,1954.300049,10,1836.900024,1
571,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
812,1,811,6,1,1,3,BA664,BS664,2,1731.599976,12.69999981,1632.300049,2
2051,1,2051,6,1,2,1,TP1,BG55,2,1842.099976,16.5,1756.599976,1
3021,2,3021,6,2,1,1,BA*,BG**,2,2050.300049,8.699999809,1946,1
8201,1,8201,6,1,2,1,TP1,BS92,2,,12.10000038,2012.699951,1
8201,2,8201,6,2,2,1,TP1,BG91,2,,8,2027,1
8202,1,8202,6,1,1,1,BA*,BS**,2,1826.099976,11.5,1717,1
502,2,504,1,2,2,4,BA304,BG310,2,2066.399902,8.699999809,1957.599976,2
502,2,504,1,2,2,4,BA306,BG314,2,2082.399902,8,1978.300049,2
502,2,506,1,2,2,4,BA302,BG304,2,2146.5,5.900000095,2029.300049,2
502,3,504,1,3,2,4,BA305,BG311,1,2226.600098,6.099999905,2147.699951,2
503,1,506,1,1,2,4,BA301,BS301,2,2034.300049,8.800000191,1934.699951,2
503,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
503,2,502,1,2,1,1,TP1,BG56,2,2018.300049,9.399999619,1897.900024,1
504,3,504,1,3,2,4,BA304,BG309,1,2242.600098,6,2095.300049,2
504,3,504,1,3,2,4,BA306,BG313,1,2226.600098,6.199999809,2139,2
504,3,504,1,3,2,4,BA305,BG311,1,2226.600098,6.099999905,2147.699951,2
505,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
505,2,506,1,2,2,4,BA302,BG304,2,2146.5,5.900000095,2029.300049,2
506,2,504,1,2,2,4,BA304,BG310,2,2066.399902,8.699999809,1957.599976,2
506,2,4155,1,2,1,1,BA*,BG**,1,,4.800000191,2136.899902,1
507,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
507,2,4155,1,2,1,1,BA*,BG**,1,,4.800000191,2136.899902,1
508,2,506,1,2,2,4,BA301,BG302,2,2178.5,6.900000095,2041.099976,2
508,2,506,1,2,2,4,BA303,BG306,2,2114.399902,6.900000095,2003.099976,2
509,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
509,2,502,1,2,1,1,TP1,BG56,2,2018.300049,9.399999619,1897.900024,1
509,2,506,1,2,2,4,BA301,BG302,2,2178.5,6.900000095,2041.099976,2
509,3,506,1,3,2,4,BA301,BG301,1,2208.899902,6.199999809,2075.600098,2
563,2,506,1,2,2,4,BA303,BG306,2,2114.399902,6.900000095,2003.099976,2
564,1,506,1,1,2,4,BA301,BS301,2,2034.300049,8.800000191,1934.699951,2
603,1,606,1,1,2,3,BAX04,BSX04,2,1744.400024,13.80000019,1657,2
603,1,606,1,1,1,3,BAX02,BSX02,2,1858.099976,14,1775.699951,2
604,1,606,1,1,2,3,BAX03,BSX03,2,1810.099976,13.80000019,1725.599976,2
662,1,606,1,1,1,3,BAX02,BSX02,2,1858.099976,14,1775.699951,2
1011,2,1011,1,2,1,1,BA*,BG**,1,,10.30000019,1906.199951,1
1019,2,1019,1,2,1,1,BA*,BG**,1,,6.5,2045.599976,1
3028,2,3028,1,2,1,1,BA*,BG**,2,,8.800000191,1999.099976,1
3998,3,3998,1,3,2,1,BA4,BG04,2,,7.599999905,1814.900024,2
4125,2,4125,1,2,2,1,BA*,BG**,2,,7.900000095,2069.600098,1
4129,1,4129,1,1,1,1,BA*,BS**,2,,13.19999981,1834.099976,2
4155,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
A310,1,4125,1,1,1,1,BA*,BS**,2,,9.5,1984.699951,1
A340,2,4125,1,2,2,1,BA*,BG**,2,,7.900000095,2069.600098,1
A350,2,4125,1,2,2,1,BA*,BG**,2,,7.900000095,2069.600098,1
B330,2,1019,1,2,2,1,TP1,BG55,1,,7.199999809,2039.099976,1
B330,2,1019,1,2,1,1,BA*,BG**,1,,6.5,2045.599976,1
B340,2,1019,1,2,2,1,TP1,BG55,1,,7.199999809,2039.099976,1
B350,2,1019,1,2,2,1,TP1,BG55,1,,7.199999809,2039.099976,1
C310,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
C320,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
C330,2,4155,1,2,2,1,BA*,BG**,1,,5.800000191,2140.100098,1
113,2,161,4,2,2,1,B319,BG19,1,2242.600098,6.199999809,2127.5,1
117,1,119,4,1,2,1,B307,BS07,1,2130.5,7.099999905,2048.600098,1
117,2,161,4,2,2,1,B319,BG19,1,2242.600098,6.199999809,2127.5,1
122,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
160,1,162,4,1,2,1,B320,BS20,1,2114.399902,7.599999905,1981.599976,1
160,2,119,4,2,2,1,B308,BG08,1,2210.5,5.699999809,2045.900024,1
160,2,120,4,2,2,1,B316,BG16,1,2242.600098,4.800000191,2071.800049,1
160,2,161,4,2,2,1,B319,BG19,1,2242.600098,6.199999809,2127.5,1
163,1,161,4,1,1,3,BA266,BS266,1,2082.399902,9.899999619,1957.099976,3
213,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
213,2,264,4,2,2,1,B314,BG14,1,2210.5,5.900000095,2038.5,1
215,2,264,4,2,2,1,B314,BG14,1,2210.5,5.900000095,2038.5,1
216,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
219,1,216,4,1,2,1,B306,BS06,2,2018.300049,9.5,1900.300049,1
219,1,217,4,1,2,1,B309,BS09,2,1986.300049,11.10000038,1879.199951,1
221,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
222,1,222,4,1,2,1,B303,BS03,2,2002.300049,10,1892.400024,1
222,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
222,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
224,1,222,4,1,2,1,B303,BS03,2,2002.300049,10,1892.400024,1
260,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
260,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
260,2,262,4,2,2,1,B312,BG12,1,2226.600098,5.699999809,2096.100098,1
261,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
262,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
262,2,264,4,2,2,1,B314,BG14,1,2210.5,5.900000095,2038.5,1
263,1,263,4,1,2,1,B313,BS13,2,1970.300049,10.5,1842.699951,1
263,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
264,2,224,4,2,2,1,B305,BG05,1,2242.600098,5.699999809,2113.800049,1
267,1,265,4,1,2,1,B315,BS15,2,1986.300049,11.30000019,1849.300049,1
502,2,508,4,2,1,3,BA261,BG261,1,2162.5,5.699999809,2034.599976,5
504,1,505,4,1,2,1,B*,BS*,2,2018.300049,8.899999619,1911.099976,1
504,2,509,4,2,1,1,B*,BG**,1,2210.5,5.400000095,2030,1
505,1,559,4,1,2,1,BA*,BS**,2,1986.300049,9.800000191,1882,1
506,1,559,4,1,2,1,BA*,BS**,2,1986.300049,9.800000191,1882,1
507,2,508,4,2,1,3,BA262,BG262,1,2114.399902,7.199999809,1974.099976,5
507,2,508,4,2,1,3,BA261,BG261,1,2162.5,5.699999809,2034.599976,5
508,1,504,4,1,1,1,TP1,BS92,2,2146.5,7,2024.699951,1
509,1,504,4,1,1,1,TP1,BS92,2,2146.5,7,2024.699951,1
509,1,505,4,1,2,1,B*,BS*,2,2018.300049,8.899999619,1911.099976,1
509,1,509,4,1,1,1,B*,BS**,2,2082.399902,7.800000191,1973,1
559,1,505,4,1,2,1,B*,BS*,2,2018.300049,8.899999619,1911.099976,1
560,1,502,4,1,1,1,TP2,BS92,2,2050.399902,7.699999809,1938.900024,1
601,2,604,4,2,2,1,B*,BG**,1,2242.600098,6,2092.199951,1
604,2,603,4,2,2,1,B*,BG**,1,2194.5,5.699999809,2106.5,1
607,2,608,4,2,2,1,B*,BG**,1,2130.5,7.5,2061.600098,1
660,2,604,4,2,2,1,B*,BG**,1,2242.600098,6,2092.199951,1
661,2,603,4,2,2,1,B*,BG**,1,2194.5,5.699999809,2106.5,1
669,2,604,4,2,2,1,B*,BG**,1,2242.600098,6,2092.199951,1
1003,1,1003,4,1,2,1,TP1,BS92,2,1906.099976,10.89999962,1834.800049,2
1015,1,1015,4,1,1,1,BA*,BS**,2,1794,14.80000019,1549.800049,1
1021,1,1021,4,1,2,1,TP1,BS92,2,1922.199951,10.39999962,1839.5,1
A320,1,1036,4,1,2,1,TP1,BS70,2,,9.300000191,1940.699951,1
A453,1,7613,4,1,1,1,BA*,BS**,2,1986.199951,11.5,1840.699951,1
A457,1,7613,4,1,1,1,BA*,BS**,2,1986.199951,11.5,1840.699951,1
7073,2,7073,20,2,1,1,BA*,BG**,2,1922.199951,7.199999809,1814.400024,1
6043,2,6043,21,2,1,1,BA*,BG**,1,2290.600098,3.099999905,2169.5,2
502,2,504,23,2,1,3,BAX03,BGX03,1,2178.5,5.599999905,2043.199951,3
502,3,503,23,3,2,3,BAX01,BGX01,1,2178.5,6.300000191,2012.199951,3
503,1,506,23,1,2,1,TP1,BS55,2,2067.899902,7.300000191,1971.800049,1
504,3,503,23,3,2,3,BAX01,BGX01,1,2178.5,6.300000191,2012.199951,3
505,1,506,23,1,2,1,TP1,BS55,2,2067.899902,7.300000191,1971.800049,1
505,3,504,23,3,1,3,BAX02,BGX02,1,2178.5,7,2026.300049,3
509,3,503,23,3,2,3,BAX01,BGX01,1,2178.5,6.300000191,2012.199951,3
559,2,504,23,2,1,3,BAX03,BGX03,1,2178.5,5.599999905,2043.199951,3
7023,1,7023,23,1,2,1,BA*,BS**,2,,6,1954.300049,1
505,1,509,13,1,2,3,BA501,BS304,2,2082.399902,10.30000019,1947.5,2
507,2,507,13,2,1,1,BA*,BG**,1,,4.800000191,2332,1
5518,2,5518,18,2,2,1,BA*,BG**,1,2242.600098,6.300000191,2080.699951,1
5528,1,5528,18,1,1,1,BA*,BS**,2,1842.099976,14.69999981,1755,1
5538,2,5538,18,2,2,1,BA*,BG**,1,1794.099976,8.899999619,1666.599976,1
9116,1,9116,19,1,1,1,BA*,BS**,2,2082.399902,8.5,1956.599976,1
B410,2,3009,19,2,2,1,BA*,BG**,1,1954.300049,8.800000191,1825.800049,1
9048,1,9048,6,1,2,1,BA*,BS**,2,2098.399902,8.5,1990.400024,1
A340,1,1253,6,1,1,1,BA*,BS**,2,1938.199951,11.60000038,1862.199951,1
A363,1,1253,6,1,1,1,BA*,BS**,2,1938.199951,11.60000038,1862.199951,1
A410,1,3021,6,1,1,1,BA*,BS**,2,1922.199951,8.5,1834.900024,1
A421,1,3021,6,1,2,1,BA*,BS**,2,1938.199951,11.10000038,1843.599976,1
A421,2,3021,6,2,1,1,BA*,BG**,2,2050.300049,8.699999809,1946,1
A423,2,3021,6,2,1,1,BA*,BG**,2,2050.300049,8.699999809,1946,1
A430,1,3021,6,1,2,1,BA*,BS**,2,1938.199951,11.10000038,1843.599976,1
A442,2,3021,6,2,1,1,BA*,BG**,2,2050.300049,8.699999809,1946,1
A443,1,3021,6,1,2,1,BA*,BS**,2,1938.199951,11.10000038,1843.599976,1
214,2,214,8,2,2,1,B10,BG10,1,2226.600098,6.699999809,2121.699951,1
812,1,812,8,1,2,5,BA268,BS268,2,1970.300049,10.89999962,1872.599976,1
812,1,812,8,1,1,5,BA265,BS265,2,1954.300049,10.10000038,1861.900024,1
1029,1,1029,8,1,2,1,TP1,BS93,2,1746,16,1677.199951,1
9019,1,9019,8,1,2,1,BA*,BS**,2,1986.199951,12.60000038,1884.699951,1
5001,1,5001,9,1,1,1,BA2,BS02,2,,9.300000191,1933.400024,1
101,1,104,10,1,1,1,B7,BS07,2,1891.699951,9.699999809,1781.800049,1
101,1,107,10,1,2,1,B8,BS08,2,1866.099976,9.600000381,1789.800049,1
101,1,108,10,1,1,1,B5,BS05,2,1919,10.80000019,1819.699951,1
101,2,160,10,2,2,2,BAX07,BSX07,2,1928.599976,9.100000381,1829.699951,2
102,2,104,10,2,2,2,BAX09,BSX09,1,2050.399902,7.099999905,1914.900024,2
102,3,102,10,3,2,1,B15,BG01,1,2354.699951,6.400000095,2240.5,1
102,3,159,10,3,2,1,B17,BG03,1,2354.699951,6.199999809,2285.699951,1
103,1,104,10,1,1,1,B7,BS07,2,1891.699951,9.699999809,1781.800049,1
104,1,102,10,1,1,1,B2,BS02,2,1957.400024,9.699999809,1853.900024,1
104,1,107,10,1,1,1,B1,BS01,2,2032.699951,9.100000381,1949.599976,1
105,1,108,10,1,1,1,B5,BS05,2,1919,10.80000019,1819.699951,1
105,3,101,10,3,2,1,B16,BG02,1,2322.699951,5,2251.800049,1
106,1,107,10,1,2,1,B8,BS08,2,1866.099976,9.600000381,1789.800049,1
121,2,113,30,2,2,1,B13,BG13,1,2258.600098,5.5,2176.699951,1
508,2,509,13,2,2,1,BA*,BG**,1,2430,5.5,2315,1
561,1,507,13,1,1,1,BA*,BS**,2,,7.699999809,2019,1
562,2,509,13,2,2,1,BA*,BG**,1,2430,5.5,2315,1
562,2,565,13,2,2,1,BA*,BG**,1,,4.800000191,2329,1
563,2,507,13,2,1,1,BA*,BG**,1,,4.800000191,2332,1
564,1,509,13,1,2,3,BA501,BS304,2,2082.399902,10.30000019,1947.5,2
565,2,565,13,2,2,1,BA*,BG**,1,,4.800000191,2329,1
566,2,507,13,2,1,1,BA*,BG**,1,,4.800000191,2332,1
1031,2,1031,13,2,1,1,BA*,BG**,2,,6.099999905,2088.800049,1
3011,1,3011,13,1,1,1,A1,TS01,2,,7.599999905,1975,1
3016,1,3016,13,1,2,1,BA*,BS**,2,,11.19999981,1854.900024,1
3018,1,3018,13,1,1,1,A1,TS01,2,,18.89999962,1733.199951,1
5023,1,5023,13,1,2,1,BA*,BS**,2,,10.89999962,1646.699951,1
1010,1,1010,16,1,1,1,BA*,BS**,2,1810,9.199999809,1722.300049,1
6027,1,6027,16,1,2,1,TP1,BS93,2,,10.60000038,2035.5,1
9034,1,9034,16,1,2,1,TP1,BS91,2,,11.19999981,1927.800049,1
C320,1,1010,16,1,2,1,TP1,BS92,2,,6.699999809,1852.900024,1
1002,1,1002,17,1,2,1,TP*,BS**,2,1922.199951,13.10000038,1958.400024,1
107,1,107,10,1,2,1,B8,BS08,2,1866.099976,9.600000381,1789.800049,1
107,1,112,10,1,1,1,B11,BS11,2,2026.300049,8,1924,1
107,1,159,10,1,1,1,B6,BS06,2,1986.199951,9.300000191,1917.099976,1
108,1,108,10,1,1,1,B5,BS05,2,1919,10.80000019,1819.699951,1
108,3,101,10,3,2,1,B16,BG02,1,2322.699951,5,2251.800049,1
109,2,109,10,2,1,2,BAX05,BSX05,2,1943,9,1845,2
110,2,160,10,2,2,2,BAX07,BSX07,2,1928.599976,9.100000381,1829.699951,2
111,1,112,10,1,2,1,B4,BS04,2,1997.400024,10.30000019,1905.400024,1
111,1,112,10,1,1,1,B11,BS11,2,2026.300049,8,1924,1
111,2,160,10,2,2,2,BAX07,BSX07,2,1928.599976,9.100000381,1829.699951,2
112,1,159,10,1,2,1,B13,BS13,2,1844.199951,8.800000191,1802.699951,1
159,1,108,10,1,1,1,B5,BS05,2,1919,10.80000019,1819.699951,1
160,1,102,10,1,2,1,B9,BS09,2,1907.699951,9.800000191,1789.199951,1
201,2,205,10,2,1,5,BA322,BS337,2,2005.5,8,1904.800049,3
203,2,212,10,2,1,6,BA302,BS303,2,2035.900024,8.800000191,1937,2
204,2,202,10,2,1,6,BA309,BS314,2,1938.199951,8.800000191,1841.599976,1
204,2,204,10,2,2,1,B1,BG01,2,1907.699951,7.800000191,1821.300049,1
206,1,202,10,1,1,2,B3,BG03,2,1813.199951,9.699999809,1740.199951,1
206,2,202,10,2,1,6,BA309,BS314,2,1938.199951,8.800000191,1841.599976,1
207,2,207,10,2,2,1,B4,BG04,2,1915.800049,7.699999809,1831.300049,1
209,1,211,10,1,1,7,BA313,BS323,2,2002.300049,8.800000191,1907.300049,1
209,3,204,10,3,2,1,B13,BG07,1,2354.699951,6.099999905,2253.899902,1
210,2,207,10,2,2,1,B4,BG04,2,1915.800049,7.699999809,1831.300049,1
210,2,210,10,2,1,5,BA307,BS311,2,1992.699951,8.899999619,1893.099976,4
210,3,201,10,3,2,2,B15,BG09,1,2338.699951,6.5,2245.699951,1
211,3,204,10,3,2,1,B13,BG07,1,2354.699951,6.099999905,2253.899902,1
212,3,202,10,3,1,6,BA310,BG310,1,2290.600098,5.900000095,2206.699951,1
259,2,202,10,2,1,6,BA309,BS314,2,1938.199951,8.800000191,1841.599976,1
260,1,207,10,1,1,1,B10,BS04,2,2013.5,10,1921.699951,1
102,2,109,12,2,2,6,BAX02,BGX02,1,2208.899902,6.099999905,2091.199951,1
103,1,107,12,1,2,1,B1,BS01,2,1954.199951,10.80000019,1879.400024,1
105,2,109,12,2,2,6,BAX02,BGX02,1,2208.899902,6.099999905,2091.199951,1
106,2,109,12,2,2,6,BAX02,BGX02,1,2208.899902,6.099999905,2091.199951,1
107,1,104,12,1,2,1,B4,BS04,2,2026.300049,9.5,1946,1
108,1,112,12,1,2,1,B3,BS03,2,2005.5,9.199999809,1918.300049,1
110,1,106,12,1,2,1,B2,BS02,2,1991,10.10000038,1918.099976,1
161,2,109,12,2,2,6,BAX02,BGX02,1,2208.899902,6.099999905,2091.199951,1
502,2,1030,12,2,2,1,TP1,BG56,2,,11.10000038,1752.400024,1
502,3,1030,12,3,1,1,BA*,BG**,1,,9.100000381,1907.800049,1
502,3,1030,12,3,2,1,TP1,BG55,1,,8.300000191,1973.5,1
504,1,1030,12,1,2,1,TP1,BS55,2,,12.39999962,1621.099976,1
505,2,503,12,2,1,3,BAX03,BGX01,2,1867.800049,9,1769.300049,2
507,1,563,12,1,2,1,TP3,BS57,2,1813.199951,9.5,1730.5,1
509,1,1030,12,1,2,1,TP1,BS55,2,,12.39999962,1621.099976,1
561,2,1030,12,2,2,1,TP1,BG56,2,,11.10000038,1752.400024,1
561,3,504,12,3,1,3,BAX07,BGX05,1,2098.399902,7,1984.099976,2
561,3,1030,12,3,1,1,BA*,BG**,1,,9.100000381,1907.800049,1
562,3,1030,12,3,2,1,TP1,BG55,1,,8.300000191,1973.5,1
563,2,1030,12,2,2,1,TP1,BG56,2,,11.10000038,1752.400024,1
565,3,506,12,3,2,3,BAX06,BGX04,1,2130.5,7,1996.800049,2
1030,2,1030,12,2,1,1,BA*,BG**,2,,7.300000191,1789.300049,1
3811,2,3811,12,2,1,1,BA*,BG**,2,,10.69999981,1760.400024,1
4059,2,4059,12,2,2,1,BA*,BG**,2,,9.600000381,1830.900024,1
4099,1,4099,12,1,2,1,TP1,BS55,2,,6.5,1603.400024,1
4103,1,4103,12,1,1,1,BA*,BS**,2,,8.899999619,1920.599976,1
4105,1,4105,12,1,1,1,BA*,BS**,2,,15.10000038,1537.800049,1
4105,2,4105,12,2,2,1,BA*,BG**,2,,12.5,1653.099976,1
4106,2,4106,12,2,2,1,TP1,BG56,2,,3.799999952,1768.400024,1
4135,1,4135,12,1,1,1,BA*,BS**,2,,13.89999962,1662.699951,1
4135,2,4135,12,2,1,1,BA*,BG**,1,,9.800000191,1840.5,1
4135,3,4135,12,3,2,1,TP1,BG55,1,,9.5,1822.900024,1
9054,3,9054,12,3,2,1,TP1,BG55,1,,11.60000038,1875.800049,1
A310,3,9054,12,3,1,1,BA*,BG**,1,,9.199999809,1838.900024,1
A320,3,9054,12,3,2,1,TP1,BG55,1,,11.60000038,1875.800049,1
A350,2,9054,12,2,1,1,BA*,BG**,2,,9.699999809,1806.900024,1
A351,2,9054,12,2,2,1,TP1,BG56,1,,11,1862.900024,1
A351,2,9054,12,2,1,1,BA*,BG**,2,,9.699999809,1806.900024,1
A351,3,9054,12,3,2,1,TP1,BG55,1,,11.60000038,1875.800049,1
A351,3,9054,12,3,1,1,BA*,BG**,1,,9.199999809,1838.900024,1
B320,3,3997,12,3,1,1,BA*,BG**,2,,10,1887,1
B321,1,3997,12,1,1,1,BA*,BS**,2,,15.10000038,1561.800049,1
B350,3,3997,12,3,2,1,TP1,BG55,1,,10.19999981,1925.400024,1
B351,3,3997,12,3,2,1,TP1,BG55,1,,10.19999981,1925.400024,1
B352,3,3997,12,3,1,1,BA*,BG**,2,,10,1887,1
C321,2,4154,12,2,2,1,TP1,BG55,2,,10.89999962,1659.5,2
502,2,565,13,2,2,1,BA*,BG**,1,,4.800000191,2329,1
504,2,565,13,2,2,1,BA*,BG**,1,,4.800000191,2329,1
1001,1,1001,26,1,1,1,BA*,BS**,2,1778,13.39999962,1675.099976,1
1001,2,1001,26,2,1,1,BA*,BG**,1,2242.600098,3.599999905,2113.100098,1
1013,3,1013,26,3,1,1,BA*,BG**,1,2226.600098,4.699999809,1994.5,2
3068,2,3068,26,2,1,1,BA*,BG**,1,1794.099976,2.900000095,1822,1
5363,2,5363,26,2,2,1,TP*,BG**,1,1762,10.39999962,1822.099976,1
5363,2,5363,26,2,1,1,BA*,BG**,1,1858.099976,10.60000038,1797.300049,1
6016,3,6016,26,3,1,1,BA*,BG**,1,2194.5,3.900000095,1969.099976,1
7072,1,7072,26,1,2,1,TP*,BS**,2,2050.399902,7.099999905,2146.699951,1
9030,2,9030,26,2,2,1,BA*,BG**,1,1778,12.5,1690.099976,1
9030,3,9030,26,3,2,1,BA*,BG**,1,2258.600098,7.599999905,2196.899902,1
A320,2,1013,26,2,2,1,TP*,BG**,1,1730,12.19999981,1633.599976,2
C310,1,1001,26,1,1,1,BA*,BS**,2,1778,13.39999962,1675.099976,1
C320,1,1001,26,1,2,1,TP*,BS**,2,1698,15.69999981,1655.699951,1
C340,1,1001,26,1,2,1,TP*,BS**,2,1698,15.69999981,1655.699951,1
C340,2,1001,26,2,2,1,TP*,BG**,1,2194.5,3.200000048,2115.399902,1
C340,2,1001,26,2,1,1,BA*,BG**,1,2242.600098,3.599999905,2113.100098,1
C350,1,1001,26,1,1,1,BA*,BS**,2,1778,13.39999962,1675.099976,1
503,3,507,27,3,2,3,BAX07,BGX07,1,2210.5,5.900000095,2066,6
504,3,507,27,3,2,3,BAX07,BGX07,1,2210.5,5.900000095,2066,6
702,2,709,27,2,2,1,TP3,BG18,2,1778,12.80000019,1690.400024,1
707,2,704,27,2,1,1,TP2,BG16,2,1746,12.5,1650.199951,1
708,2,701,27,2,2,1,TP1,BG14,2,2002.300049,9.899999619,1871.699951,1
708,2,704,27,2,1,1,TP2,BG16,2,1746,12.5,1650.199951,1
709,3,709,27,3,2,1,TP3,BG17,1,2146.5,5.900000095,2042.300049,1
1018,1,1018,27,1,1,1,BA*,BS**,2,1970.300049,5.400000095,1820.599976,1
