LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
509,2,508,4,2,1,3,BA261,BG261,1,2162.5,5.699999809,2034.599976,5
559,1,502,4,1,1,1,TP2,BS92,2,2050.399902,7.699999809,1938.900024,1
559,1,559,4,1,2,1,BA*,BS**,2,1986.300049,9.800000191,1882,1
559,2,508,4,2,1,3,BA262,BG262,1,2114.399902,7.199999809,1974.099976,5
606,2,604,4,2,2,1,B*,BG**,1,2242.600098,6,2092.199951,1
662,3,603,4,2,2,1,B*,BG**,1,2194.5,5.699999809,2106.5,1
1006,1,1006,4,1,2,1,TP1,BS92,2,,7.199999809,1929.900024,1
1017,1,1017,4,1,1,1,BA*,BS**,2,2050.300049,9.300000191,1974.199951,2
120,2,122,55,2,2,2,BAX09,BGX09,1,2178.5,5.900000095,2048,1
120,2,122,55,2,1,2,BAX07,BGX07,1,2194.5,5.699999809,2053.100098,1
120,3,122,55,3,2,2,BAX02,BGX02,1,2242.600098,5,2069.699951,1
121,2,122,55,2,2,2,BAX08,BGX08,1,2082.399902,8,1966.599976,1
122,1,122,55,1,1,2,BAX13,BSX13,2,2024.699951,9.899999619,1914,1
122,3,122,55,3,2,2,BAX02,BGX02,1,2242.600098,5,2069.699951,1
123,1,122,55,1,2,2,BAX14,BSX14,2,2052,8,1941.400024,1
213,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
213,2,213,55,2,2,2,BAX08,BSX08,1,2194.5,5.800000191,2059.199951,1
214,2,215,55,2,1,1,B14,BG01,1,2290.600098,5.400000095,2203.399902,1
214,2,218,55,2,2,2,BAX13,BGX13,1,2034.300049,6.900000095,1916.699951,1
215,2,214,55,2,1,1,B16,BG03,1,2258.600098,6,2158.600098,1
215,2,262,55,2,2,2,BAX12,BGX12,1,2178.5,5.199999809,2020.900024,1
215,3,213,55,3,2,2,BAX02,BGX02,1,2226.600098,6,2169.300049,1
216,1,218,55,1,2,2,BAX22,BSX22,2,2050.399902,7.699999809,1945.300049,1
217,1,218,55,1,2,2,BAX22,BSX22,2,2050.399902,7.699999809,1945.300049,1
218,1,216,55,1,2,2,BAX28,BSX28,2,2047.199951,9.300000191,1934,1
218,2,215,55,2,1,1,B14,BG01,1,2290.600098,5.400000095,2203.399902,1
221,1,221,55,1,1,2,BAX15,BSX15,2,2132.100098,6.800000191,2018.199951,1
221,2,216,55,2,2,2,BAX07,BSX07,1,2146.5,7.099999905,1989.599976,1
222,2,214,55,2,1,1,B16,BG03,1,2258.600098,6,2158.600098,1
222,2,262,55,2,2,2,BAX12,BGX12,1,2178.5,5.199999809,2020.900024,1
222,3,214,55,3,2,2,BAX03,BGX03,1,2194.5,6,2080.399902,1
223,2,218,55,2,1,1,B15,BG02,1,2178.5,6.900000095,2077.100098,1
259,1,216,55,1,2,2,BAX28,BSX28,2,2047.199951,9.300000191,1934,1
259,2,213,55,2,2,2,BAX08,BSX08,1,2194.5,5.800000191,2059.199951,1
260,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
260,2,261,55,2,1,2,BAX09,BSX09,1,2130.5,5.900000095,1995.5,1
260,3,213,55,3,2,2,BAX02,BGX02,1,2226.600098,6,2169.300049,1
261,3,213,55,3,2,2,BAX02,BGX02,1,2226.600098,6,2169.300049,1
262,1,216,55,1,2,2,BAX28,BSX28,2,2047.199951,9.300000191,1934,1
262,1,216,55,1,2,2,BAX17,BSX17,2,2066.399902,8.100000381,1949.699951,1
263,2,221,55,2,1,2,BAX05,BSX05,2,2066.399902,7,1955.800049,1
264,2,213,55,2,2,2,BAX08,BSX08,1,2194.5,5.800000191,2059.199951,1
266,3,265,55,3,2,1,B25,BG12,1,2242.600098,5.599999905,2185.600098,1
805,2,806,55,2,2,2,BAX03,BGX03,1,2242.600098,4.800000191,2102.699951,1
806,2,806,55,2,1,2,BAX02,BGX02,1,2258.600098,6,2109.199951,1
3019,1,3019,55,1,2,1,BA*,BS**,2,1986.300049,8.699999809,1873.900024,1
5037,3,5037,55,3,1,1,BA*,BG**,1,2162.5,5.699999809,2026.099976,1
6352,2,6352,55,2,2,1,BA*,BG**,1,2130.5,7.599999905,1972.800049,1
6354,2,6354,55,2,2,1,BA*,BG**,1,2146.5,6.699999809,2022.800049,1
2015,2,2015,56,2,2,1,TP1,BG91,2,2034.300049,10,1953.300049,1
B330,1,7775,56,1,1,1,BA*,BS**,2,1778,15.69999981,1698.599976,1
B360,1,7775,56,1,2,1,TP1,BS92,2,,14.10000038,1675.800049,1
501,1,503,81,1,1,1,TP1,BS92,2,1810.099976,15.5,1673.599976,1
501,1,507,81,1,2,3,BA265,BS265,2,1858.099976,13.69999981,1754.5,5
503,2,508,81,2,2,3,BA267,BG267,2,2226.600098,5.800000191,2113.600098,7
