LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
2,0604,0607,1,2,1,2,BA3,BG03,2,2322.90,6
1,0606,0606,1,1,3,2,BAX04,BSX04,2,1744.60,14
2,0606,0606,1,2,1,3,TP2,BG58,2,2322.90,7
2,0606,0606,1,2,3,1,BAX05,BGX01,2,2356.50,5
1,0661,0606,1,1,1,3,TP2,BS58,2,1682.10,15
1,1011,1011,1,1,1,1,BA*,BS**,1,1874.30,13
1,1019,1019,1,1,1,2,TP1,BS55,1,1842.30,10
1,1019,1019,1,1,1,1,BA*,BS**,1,2018.50,9
1,3998,3998,1,1,1,2,BA*,BS**,2,1938.40,11
2,4007,4007,1,2,1,2,BA*,BG**,1,1970.50,10
3,4007,4007,1,3,1,1,BA*,BG**,1,2387.00,6
1,4073,4073,1,1,1,1,BA*,BS**,1,1602.00,22
3,4073,4073,1,3,1,2,BA*,BG**,1,2290.90,6
2,4084,4084,1,2,1,1,BA*,BG**,1,2322.90,10
1,4126,4126,1,1,1,1,BA*,BS**,1,1922.40,12
2,4126,4126,1,2,1,2,BA*,BG**,1,2146.70,8
1,5008,5008,1,1,1,2,BA*,BS**,1,1810.30,14
1,6012,6012,1,1,1,2,TP1,BS55,1,1954.40,11
1,A350,4125,1,1,1,2,BA*,BS**,1,2018.50,10
1,B350,1019,1,1,1,2,TP1,BS55,1,1842.30,10
2,C350,4155,1,2,1,2,BA*,BG**,1,2242.80,6
2,1001,1001,2,2,1,1,TP2,BG81,1,2274.80,6
1,1002,1002,2,1,1,2,TP2,BS81,1,2258.80,7
2,1002,1002,2,2,1,2,TP2,BG82,1,2306.90,7
3,6010,6010,2,3,1,1,TP2,BG81,1,2354.90,6
1,9035,9035,2,1,1,1,TP2,BS81,1,2258.80,7
1,0113,0113,4,1,1,2,B317,BS17,1,2018.50,10
1,0114,0115,4,1,1,2,B303,BS03,1,2114.60,9
2,0114,0161,4,2,1,2,B319,BG19,1,2242.80,6
1,0115,0116,4,1,1,2,B310,BS10,1,2162.70,8
1,0115,0122,4,1,1,2,B313,BS13,1,2114.60,8
1,0116,0116,4,1,1,2,B310,BS10,1,2162.70,8
1,0116,0124,4,1,1,2,B305,BS05,1,2146.70,8
1,0118,0118,4,1,3,1,BA663,BS663,3,2114.60,8
2,0118,0120,4,2,1,2,B316,BG16,1,2258.80,4
1,0119,0114,4,1,1,2,B309,BS09,1,2130.70,8
2,0119,0120,4,2,1,2,B316,BG16,1,2258.80,4
1,0121,0121,4,1,3,1,BA263,BS263,2,2114.60,8
1,0121,0161,4,1,1,2,B318,BS18,1,2082.60,9
1,0122,0114,4,1,1,2,B309,BS09,1,2130.70,8
1,0123,0120,4,1,1,2,B315,BS15,1,1922.40,13
1,0160,0162,4,1,1,2,B320,BS20,1,2162.70,8
2,0161,0161,4,2,1,2,B319,BG19,1,2242.80,6
1,0162,0162,4,1,1,2,B320,BS20,1,2162.70,8
2,0213,0224,4,2,1,2,B305,BG05,1,2290.90,6
2,0213,0262,4,2,1,2,B312,BG12,1,2258.80,5
1,0214,0216,4,1,1,2,B306,BS06,1,2082.60,9
2,0214,0215,4,2,1,2,B307,BG07,1,2290.90,6
1,0215,0217,4,1,1,2,B309,BS09,1,2050.60,10
1,0216,0217,4,1,1,2,B309,BS09,1,2050.60,10
2,0216,0264,4,2,1,2,B314,BG14,1,1666.10,6
1,0217,0223,4,1,1,2,B308,BS08,1,2082.60,10
1,0218,0222,4,1,1,2,B303,BS03,1,2034.50,11
1,0219,0217,4,1,1,2,B309,BS09,1,2050.60,10
1,0220,0263,4,1,1,2,B313,BS13,1,1954.40,11
2,0221,0221,4,2,1,2,B310,BG10,1,2274.80,6
1,0222,0220,4,1,1,2,B304,BS04,1,1970.50,12
1,0222,0222,4,1,1,2,B303,BS03,1,2034.50,11
2,0222,0221,4,2,1,2,B310,BG10,1,2274.80,6
2,0223,0224,4,2,1,2,B305,BG05,1,2290.90,6
2,0223,0260,4,2,1,2,B318,BG18,1,2290.90,6
1,0261,0213,4,1,1,2,B311,BS61,1,2050.60,10
2,0261,0214,4,2,1,2,B302,BG02,1,2274.80,6
2,0261,0260,4,2,1,2,B318,BG18,1,2290.90,6
1,0262,0216,4,1,1,2,B306,BS06,1,2082.60,9
2,0262,0214,4,2,1,2,B302,BG02,1,2274.80,6
1,0263,0267,4,1,1,2,B316,BS16,1,1986.50,10
1,0265,0263,4,1,1,2,B313,BS13,1,1954.40,11
2,0265,0214,4,2,1,2,B302,BG02,1,2274.80,6
2,0265,0260,4,2,1,2,B318,BG18,1,2290.90,6
1,0266,0263,4,1,1,2,B313,BS13,1,1954.40,11
2,0501,0507,4,2,1,1,BA*,BG*5,1,2210.80,6
1,0503,0502,4,1,1,2,TP2,BS92,1,2050.60,8
