LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,SHRP_TEST,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING
C310,1,1017,4,1,1,1,SS01,BA*,2,BS**,100,99,99,94,89,83,79,68,55,37,28,22.70000076
C310,2,1017,4,2,1,1,UG01,BA*,2,BG**,100,99,98,92,88,77,71,59,47,28,17,11.30000019
C320,2,1017,4,2,1,2,UG01,TP1,2,BG91,100,99,99,96,93,84,79,67,45,19,10,5.900000095
C350,1,1017,4,1,1,2,SS01,TP1,2,BS92,100,96,93,87,83,76,72,59,47,32,23,17.89999962
D350,2,1016,4,2,1,1,UG01,BA*,1,BG**,100,100,96,91,86,77,73,62,52,34,24,17.5
0114,1,0117,5,1,7,1,SS01,BA*,1,BS**,100,100,100,99,99,98,98,98,94,83,25,11.19999981
0114,1,0119,5,1,1,2,SS01,B1,1,BS01,100,100,100,100,100,100,100,100,99,94,49,31
0117,1,0117,5,1,7,2,SS01,BA*,1,BS**,100,100,100,100,100,100,100,99,96,84,37,19.5
0118,1,0118,5,1,1,2,SS01,B4,1,BS04,100,100,100,100,100,100,100,100,100,99,57,12.10000038
0119,1,0114,5,1,5,2,SS01,BA*,1,BS**,100,100,100,100,100,100,100,99,99,87,20,10
0120,1,0117,5,1,1,2,SS01,B5,1,BS05,100,100,100,100,100,100,100,100,99,88,39,23.5
0121,1,0117,5,1,7,2,SS01,BA*,1,BS**,100,100,100,100,100,100,100,99,96,84,37,19.5
0124,1,0124,5,1,1,2,SS01,B3,1,BS03,100,100,100,100,100,100,100,100,100,93,18,6.099999905
0213,3,0222,5,3,1,3,UG01,B8,1,BG02,100,100,100,92,81,66,57,39,24,12,7,4.300000191
0214,3,0224,5,3,4,2,UG01,BA*,4,BG**,100,100,100,100,100,95,89,71,50,23,11,5.300000191
0215,1,0219,5,1,1,3,SS01,B3,1,BS03,100,100,98.80000305,97.69999695,94.90000153,85,76.30000305,58.09999847,43.40000153,30.20000076,21.70000076,17.20000076
3058,1,3058,5,1,1,2,SS01,BA*,1,BS**,100,100,100,100,100,100,100,100,100,79,13,3.900000095
