LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,CONSTRUCTION_NO
2,0559,0505,6,2,1,2,BA4,BG02,,,NP,1
2,0559,0509,6,2,1,2,BA6,BG02,,,NP,1
2,0559,0560,6,2,1,1,BA7,BG01,,,NP,1
2,0559,0568,6,2,1,1,BA11,BG01,,,NP,1
1,0560,0502,6,1,3,1,BA020*,BS020*,,,NP,4
1,0560,0560,6,1,1,1,BA7,BS01,,,NP,1
2,0560,0561,6,2,1,2,TP3,BG91,,,NP,1
1,0561,0501,6,1,1,1,BA2,BS02,,,NP,1
1,0561,0502,6,1,3,1,BA020*,BS020*,,,NP,4
1,0561,0560,6,1,1,1,BA7,BS01,,,NP,1
1,0561,0566,6,1,1,1,TP4,BS92,,,NP,1
2,0561,0504,6,2,3,2,BA040*,BG040*,,,NP,3
2,0562,0505,6,2,1,2,BA4,BG02,,,NP,1
2,0562,0505,6,2,1,2,BA3,BG01,,,NP,1
2,0562,0508,6,2,3,1,BA080*,BG080*,,,NP,3
2,0562,0509,6,2,1,2,BA5,BG01,,,NP,1
2,0562,0560,6,2,1,1,BA7,BG01,,,NP,1
2,0563,0501,6,2,1,1,BA2,BG02,,,NP,1
2,0563,0568,6,2,1,1,BA12,BG02,,,NP,1
1,0564,0564,6,1,1,2,BA10,BS02,,,NP,1
2,0564,0509,6,2,1,2,BA6,BG02,,,NP,1
2,0564,0568,6,2,1,1,BA12,BG02,,,NP,1
2,0565,0509,6,2,1,2,BA6,BG02,,,NP,1
2,0565,0560,6,2,1,1,BA7,BG01,,,NP,1
2,0565,0564,6,2,1,2,BA9,BG01,,,NP,1
1,0566,0502,6,1,1,2,TP1,BS93,,,NP,1
1,0566,0502,6,1,3,1,BA020*,BS020*,,,NP,4
1,0566,0504,6,1,3,2,BA040*,BS040*,,,NP,3
1,0566,0508,6,1,3,1,BA080*,BS080*,,,NP,3
1,0116,0116,40,1,1,2,B2,BS02,44,19,25,1
1,0117,0123,40,1,1,2,B6,BS06,36,16,20,1
1,0118,0116,40,1,1,2,B2,BS02,44,19,25,1
2,0118,0114,40,2,5,2,BA501,BT301,21,17,4,2
1,0119,0116,40,1,1,2,B2,BS02,44,19,25,1
1,0120,0122,40,1,1,2,B4,BS04,31,16,15,1
3,0120,0114,40,3,2,2,B7,BG01,,,NP,1
1,0122,0114,40,1,1,2,B1,BS01,27,19,8,1
1,0124,0123,40,1,1,2,B6,BS06,36,16,20,1
3,0160,0114,40,3,2,2,B7,BG01,,,NP,1
1,0502,0502,40,1,1,1,BA3,BS03,34,17,17,1
1,0506,0504,40,1,1,1,BA6,BS06,37,16,21,1
1,0507,0504,40,1,1,1,BA6,BS06,37,16,21,1
1,0508,0502,40,1,1,1,BA1,BS01,35,17,18,1
1,0509,0504,40,1,1,1,BA5,BS05,34,17,17,1
1,0601,0601,40,1,1,1,TP1,BS55,55,19,36,1
2,0605,0604,40,2,4,2,BAX03,BGX03,16,18,NP,4
1,0606,0604,40,1,1,1,TP2,BS56,57,18,39,1
2,0606,0604,40,2,1,1,TP2,BG56,21,16,5,1
2,0607,0601,40,2,1,1,TP1,BG55,21,17,4,1
2,0607,0604,40,2,4,2,BAX03,BGX03,16,18,NP,4
2,0608,0601,40,2,1,1,TP1,BG55,21,17,4,1
1,4154,4154,40,1,1,1,BA*,BS**,,,NP,1
2,4160,4160,40,2,1,2,BA*,BG**,21,14,7,1
2,4160,4160,40,2,1,1,BA*,BG**,24,16,8,1
1,4163,4163,40,1,1,2,BA*,BS**,26,20,6,1
1,7024,7024,40,1,1,2,BA*,BS**,22,18,4,1
1,7024,7024,40,1,1,1,BA*,BS**,,,NP,1
1,A340,4087,40,1,1,1,BA*,BS**,44,23,21,1
