LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM,COARSE_SAND,FINE_SAND,SILT,CLAY,COLLOIDS
1,0122,0117,4,1,1,2,B304,1,BS04,100,100,99,96,95,90,88,79,66,38,27,17.20000076,13.30000019,7.400000095,6.699999809,34,28,21,9.800000191,7.400000095,6.699999809
1,0122,0124,4,1,1,2,B305,1,BS05,100,98,96,94,93,89,86,76,59,33,23,14.60000038,10.60000038,5.400000095,4.099999905,41,26,19,9.199999809,5.400000095,4.099999905
1,0124,0122,4,1,1,2,B313,1,BS13,100,93,90,86,84,79,76,69,60,39,27,18.60000038,11.39999962,6.699999809,6,40,21,20,12,6.699999809,6
1,0162,0161,4,1,1,2,B318,1,BS18,100,95,85,81,78,72,68,58,48,28,19,12.69999981,10,5.599999905,5.199999809,52,20,15,7.199999809,5.599999905,5.199999809
1,0215,0216,4,1,1,2,B306,1,BS06,100,100,100,100,99,97,93,83,75,49,35,25.60000038,13.5,6.900000095,6,25,26,23,18.79999924,6.900000095,6
1,0215,0261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22,22,26,22.89999962,6.800000191,6.199999809
1,0217,0223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809,18,29,32,14.5,6.5,5.699999809
1,0217,0261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22,22,26,22.89999962,6.800000191,6.199999809
1,0219,0261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22,22,26,22.89999962,6.800000191,6.199999809
1,0220,0222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809,29,26,23,15.10000038,6.5,5.699999809
1,0221,0213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24,26,25,17.89999962,6.900000095,5.300000191
1,0222,0263,4,1,1,2,B313,1,BS13,100,100,100,98,97,95,94,89,82,58,44,33,20.29999924,10.39999962,8.800000191,18,24,25,22.39999962,10.39999962,8.800000191
1,0223,0213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24,26,25,17.89999962,6.900000095,5.300000191
1,0223,0223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809,18,29,32,14.5,6.5,5.699999809
1,0224,0265,4,1,1,2,B315,1,BS15,100,100,99,97,96,95,93,88,77,51,37,25.70000076,15.5,7.699999809,7,23,26,25,18,7.699999809,7
1,0261,0213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24,26,25,17.89999962,6.900000095,5.300000191
1,0262,0261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22,22,26,22.89999962,6.800000191,6.199999809
1,0263,0222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809,29,26,23,15.10000038,6.5,5.699999809
1,0264,0220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191,24,29,26,14.60000038,6.199999809,5.300000191
1,0266,0220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191,24,29,26,14.60000038,6.199999809,5.300000191
1,0501,0507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095,38,18,18,19.29999924,7.099999905,6.400000095
1,0503,0502,4,1,1,2,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5,15.39999962,6.900000095,5.599999905,33,24,14,21.60000038,6.900000095,5.599999905
1,0503,0504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5,41,18,16,19.39999962,6.099999905,5.5
1,0503,0505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191,29,23,15,23.60000038,9.300000191,7.800000191
1,0505,0505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191,29,23,15,23.60000038,9.300000191,7.800000191
