LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
D461,1,7086,49,1,1,2,TP1,BS91,1,1906.4,12
D461,6,7086,49,6,1,2,TP1,BG91,1,2162.7,7
E441,2,7085,49,2,1,1,TP1,BG92,1,2146.7,6
E445,1,7085,49,1,1,1,TP1,BS91,1,1826.3,15
E445,2,7085,49,2,1,1,TP1,BG92,1,2146.7,6
E448,2,7085,49,2,1,1,TP1,BG92,1,2146.7,6
E448,3,7085,49,3,1,1,TP1,BG91,1,2114.6,6
E452,1,7085,49,1,1,1,TP1,BS91,1,1826.3,15
E452,2,7085,49,2,1,1,TP1,BG92,1,2146.7,6
A430,3,3016,21,3,1,2,BX02,BGX02,1,2258.8,7
B330,1,1034,21,1,1,2,TP1,BS55,1,1650.1,17
0113,1,0117,22,1,1,2,B5,BS05,1,1810.3,13
0113,3,0113,22,3,5,1,BAX03,BGX03,1,2034.5,8
0113,3,0120,22,3,5,1,BAX01,BGX01,1,2098.6,8
0114,1,0113,22,1,1,2,B6,BS06,1,1730.2,15
0114,1,0124,22,1,1,2,B3,BS03,1,1794.2,14
0115,1,0124,22,1,1,2,B3,BS03,1,1794.2,14
0115,2,0117,22,2,1,2,B11,BG11,1,1858.3,12
0118,1,0124,22,1,1,2,B3,BS03,1,1794.2,14
0120,1,0124,22,1,1,2,B3,BS03,1,1794.2,14
0121,1,0117,22,1,1,2,B5,BS05,1,1810.3,13
0124,1,0113,22,1,1,2,B6,BS06,1,1730.2,15
0124,1,0118,22,1,1,2,B4,BS04,1,1746.2,15
0706,1,0705,22,1,1,2,BA2,BS02,1,1650.1,18
0708,1,0705,22,1,1,2,BA1,BS03,1,1618.0,20
0708,1,0705,22,1,1,2,BA3,BS01,1,1618.0,19
4001,1,4001,22,1,1,1,BA*,BS**,1,2066.6,9
0501,3,0504,23,3,3,1,BAX02,BGX02,3,2186.7,7
0502,2,0502,23,2,1,2,BA3,BG63,1,2130.7,7
0502,3,0506,23,3,1,2,TP1,BG55,1,2194.7,7
0502,3,0559,23,3,1,2,TP2,BG57,1,2226.8,7
0503,2,0559,23,2,1,2,TP2,BG58,1,2258.8,7
0503,3,0504,23,3,3,1,BAX02,BGX02,3,2186.7,7
0505,1,0507,23,1,3,2,BA303,BS303,3,2119.4,7
0505,2,0504,23,2,3,1,BAX03,BGX03,3,2186.7,6
0505,3,0559,23,3,1,2,TP2,BG57,1,2226.8,7
0506,2,0502,23,2,1,2,BA3,BG63,1,2130.7,7
0506,2,0502,23,2,1,2,BA2,BS02,1,2162.7,7
0506,2,0559,23,2,1,2,TP2,BG58,1,2258.8,7
0507,1,0504,23,1,3,2,BA302,BS302,3,2098.6,6
0507,2,0502,23,2,1,2,BA2,BS02,1,2162.7,7
0507,2,0506,23,2,1,2,TP1,BG56,1,2082.6,7
0508,1,0507,23,1,3,2,BA303,BS303,3,2119.4,7
0508,2,0502,23,2,1,2,BA3,BG63,1,2130.7,7
0509,1,0559,23,1,1,2,TP2,BS56,1,2178.7,7
0509,2,0504,23,2,3,1,BAX03,BGX03,3,2186.7,6
0509,2,0559,23,2,1,2,TP2,BG58,1,2258.8,7
1009,1,1009,23,1,1,2,TP1,BS55,1,1842.3,7
1009,2,1009,23,2,1,1,BX01,BGX01,1,2162.7,8
1026,2,1026,23,2,1,1,BX01,BGX01,1,2194.7,6
3013,3,3013,23,3,1,2,BX01,BGX01,1,2130.7,7
3014,1,3014,23,1,1,1,BX03,BSX03,1,1810.3,12
7023,1,7023,23,1,1,2,BX03,BSX03,1,2050.6,6
0501,1,0507,24,1,3,1,BAX03,BSX03,2,1643.7,18
0222,3,0214,19,3,1,1,B14,BG08,1,2194.7,8
0223,2,0219,19,2,3,2,BAX05,BSX05,1,1826.3,15
0224,1,0222,19,1,1,2,B5,BS05,1,1858.3,14
0224,2,0214,19,2,1,2,B4,BG04,1,1858.3,13
0224,3,0214,19,3,1,1,B14,BG08,1,2194.7,8
0259,1,0218,19,1,3,2,BAX10,BSX10,1,1858.3,14
0259,2,0222,19,2,1,2,B5,BG05,1,1858.3,13
0259,3,0214,19,3,1,1,B14,BG08,1,2194.7,8
0601,2,0601,19,2,3,1,BAX01,BGX01,8,2044.2,10
0601,2,0605,19,2,1,1,TP-1,BG-55,1,2258.8,7
