LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
3,C458,7082,49,3,1,2,BA4,BG05,1,304
5,D430,7086,49,5,1,2,TP1,BG92,1,308
5,D431,7086,49,5,1,2,TP1,BG92,1,308
5,D445,7086,49,5,1,2,TP1,BG92,1,308
6,D448,7086,49,6,1,2,TP1,BG91,1,308
1,D451,7086,49,1,1,2,TP1,BS91,1,267
5,D454,7086,49,5,1,2,TP1,BG92,1,308
6,D461,7086,49,6,1,2,TP1,BG91,1,308
2,0559,0507,6,2,1,2,TP2,BG92,1,302
2,0559,0564,6,2,1,2,BA9,BG01,1,304
2,0559,0568,6,2,1,1,BA12,BG02,1,304
1,0560,0505,6,1,1,2,BA3,BS01,1,214
1,0560,0560,6,1,1,1,BA7,BS01,1,215
2,0560,0509,6,2,1,2,BA5,BG01,1,304
2,0560,0564,6,2,1,2,BA10,BG02,1,304
1,0561,0505,6,1,1,2,BA3,BS01,1,214
1,0561,0561,6,1,1,2,TP3,BS93,1,214
2,0561,0566,6,2,1,2,TP4,BG91,1,304
2,0561,0568,6,2,1,1,BA12,BG02,1,304
1,0562,0564,6,1,1,2,BA10,BS02,1,214
2,0562,0501,6,2,1,1,BA2,BG02,1,302
2,0562,0560,6,2,1,1,BA8,BG02,1,304
2,0562,0564,6,2,1,2,BA9,BG01,1,304
2,0562,0564,6,2,1,2,BA10,BG02,1,304
2,0563,0505,6,2,1,2,BA4,BG02,1,304
2,0563,0507,6,2,1,2,TP2,BG92,1,302
2,0563,0566,6,2,1,2,TP4,BG91,1,304
2,0563,0568,6,2,1,1,BA11,BG01,1,304
1,0564,0564,6,1,1,2,BA10,BS02,1,214
2,0564,0504,6,2,3,2,BA040*,BG040*,3,304
2,0564,0564,6,2,1,2,BA9,BG01,1,304
2,0565,0501,6,2,1,1,BA1,BG01,1,302
2,0565,0502,6,2,1,2,TP1,BG92,1,302
2,0565,0564,6,2,1,2,BA9,BG01,1,304
2,0566,0502,6,2,3,1,BA020*,BG020*,4,304
2,0566,0502,6,2,1,2,TP1,BG92,1,302
2,0566,0508,6,2,3,1,BA080*,BG080*,3,304
2,0566,0564,6,2,1,2,BA9,BG01,1,304
2,0566,0568,6,2,1,1,BA12,BG02,1,304
1,0567,0502,6,1,1,2,TP1,BS93,1,204
2,0567,0568,6,2,1,1,BA11,BG01,1,304
1,0568,0568,6,1,1,1,BA11,BS01,1,214
2,0568,0502,6,2,1,2,TP1,BG92,1,302
2,0568,0505,6,2,1,2,BA4,BG02,1,304
2,0568,0505,6,2,1,2,BA3,BG01,1,304
2,0568,0508,6,2,3,1,BA080*,BG080*,3,304
1,0569,0501,6,1,1,1,BA1,BS01,1,214
2,0569,0502,6,2,1,2,TP1,BG92,1,302
2,0569,0568,6,2,1,1,BA12,BG02,1,304
1,0570,0502,6,1,1,2,TP1,BS93,1,204
1,0570,0505,6,1,1,2,BA3,BS01,1,214
1,0570,0560,6,1,1,1,BA7,BS01,1,215
2,0570,0509,6,2,1,2,BA6,BG02,1,302
2,0570,0561,6,2,1,2,TP3,BG92,1,304
2,0570,0564,6,2,1,2,BA9,BG01,1,304
1,0571,0504,6,1,3,2,BA040*,BS040*,3,215
1,0571,0508,6,1,3,1,BA080*,BS080*,3,255
